user_style_daily_sirendoudizhu.fbpid,user_style_daily_sirendoudizhu.fuid,user_style_daily_sirendoudizhu.sys_sum,user_style_daily_sirendoudizhu.sys_percent,user_style_daily_sirendoudizhu.win_sum,user_style_daily_sirendoudizhu.win_percent,user_style_daily_sirendoudizhu.pay_sum,user_style_daily_sirendoudizhu.pay_percent,user_style_daily_sirendoudizhu.change_sum,user_style_daily_sirendoudizhu.change_percent,user_style_daily_sirendoudizhu.coin_total,user_style_daily_sirendoudizhu.primary_total_time,user_style_daily_sirendoudizhu.primary_total_count,user_style_daily_sirendoudizhu.primary_percent,user_style_daily_sirendoudizhu.practice_total_time,user_style_daily_sirendoudizhu.practice_total_count,user_style_daily_sirendoudizhu.practice_percent,user_style_daily_sirendoudizhu.native_total_time,user_style_daily_sirendoudizhu.native_total_count,user_style_daily_sirendoudizhu.native_percent,user_style_daily_sirendoudizhu.middle_total_time,user_style_daily_sirendoudizhu.middle_total_count,user_style_daily_sirendoudizhu.middle_percent,user_style_daily_sirendoudizhu.high_total_time,user_style_daily_sirendoudizhu.high_total_count,user_style_daily_sirendoudizhu.high_percent,user_style_daily_sirendoudizhu.master_total_time,user_style_daily_sirendoudizhu.master_total_count,user_style_daily_sirendoudizhu.master_percent,user_style_daily_sirendoudizhu.dt
34E4147F6F2E379D9F1B3E9043A341F4,4150005,14166,65.6715,7405,34.3285,0,0,0,0.0,21571,0,0,0.0,1274,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,10955497,48358,49.463,49408,50.537,0,0,0,0.0,97766,0,0,0.0,1421,9,74.5932,484,3,25.4068,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4285741,25055,57.0846,18836,42.9154,0,0,0,0.0,43891,0,0,0.0,1737,13,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
0B8A572918B073167351981AAD73D27B,11102290,36795,62.7687,21825,37.2313,0,0,0,0.0,58620,0,0,0.0,4007,26,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4313911,10826,72.8827,4028,27.1173,0,0,0,0.0,14854,0,0,0.0,594,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,9883654,14449,61.2453,9143,38.7547,0,0,0,0.0,23592,0,0,0.0,971,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,3911599,35929,52.9567,31917,47.0433,0,0,0,0.0,67846,0,0,0.0,3205,20,97.2096,92,1,2.7904,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4242701,24779,53.6481,21409,46.3519,0,0,0,0.0,46188,0,0,0.0,976,6,76.4291,301,2,23.5709,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4244614,9572,90.5411,1000,9.4589,0,0,0,0.0,10572,0,0,0.0,127,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
0B8A572918B073167351981AAD73D27B,10338359,144694,48.6223,152894,51.3777,0,0,0,0.0,297588,1187,6,82.0318,0,0,0.0,147,1,10.1589,113,1,7.8093,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11823782,10577,86.6683,1627,13.3317,0,0,0,0.0,12204,0,0,0.0,375,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11533675,3813,48.7222,4013,51.2778,0,0,0,0.0,7826,0,0,0.0,549,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,3934124,21446,60.0022,14296,39.9978,0,0,0,0.0,35742,0,0,0.0,1249,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
34E4147F6F2E379D9F1B3E9043A341F4,4132497,65835,48.3359,70368,51.6641,0,0,0,0.0,136203,0,0,0.0,0,0,0.0,1068,8,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11805085,5160,52.439,4680,47.561,0,0,0,0.0,9840,0,0,0.0,0,0,0.0,566,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,9784770,70847,49.9253,71059,50.0747,0,0,0,0.0,141906,0,0,0.0,1037,8,35.3081,1900,12,64.6919,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,11720578,1856,48.6884,1956,51.3116,0,0,0,0.0,3812,0,0,0.0,837,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4281700,3681,76.6715,1120,23.3285,0,0,0,0.0,4801,0,0,0.0,421,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11555859,11675,77.6521,3360,22.3479,0,0,0,0.0,15035,0,0,0.0,231,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,2900464,26703,53.171,23518,46.829,0,0,0,0.0,50221,0,0,0.0,1286,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11336096,10950,73.7374,3900,26.2626,0,0,0,0.0,14850,0,0,0.0,435,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11591816,137860,52.672,123873,47.328,0,0,0,0.0,261733,0,0,0.0,6264,38,70.1691,2663,19,29.8309,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
0B8A572918B073167351981AAD73D27B,11795445,3180,59.887,2130,40.113,0,0,0,0.0,5310,0,0,0.0,474,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11806985,12153,70.2242,5153,29.7758,0,0,0,0.0,17306,0,0,0.0,553,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11628981,11931,55.3771,9614,44.6229,0,0,0,0.0,21545,0,0,0.0,0,0,0.0,173,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11481231,3608,84.5757,658,15.4243,0,0,0,0.0,4266,0,0,0.0,203,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
89D1A3AD2CFFF5709C8CCC0277E01269,11186652,2000,29.4118,4800,70.5882,0,0,0,0.0,6800,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,228,1,100.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4061088,32109,54.3143,27008,45.6857,0,0,0,0.0,59117,0,0,0.0,871,5,84.3992,161,1,15.6008,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,10642125,17703,63.0314,10383,36.9686,0,0,0,0.0,28086,0,0,0.0,622,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
89D1A3AD2CFFF5709C8CCC0277E01269,11117662,24057,65.3829,12737,34.6171,0,0,0,0.0,36794,0,0,0.0,1309,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4293963,3956,71.6667,1564,28.3333,0,0,0,0.0,5520,0,0,0.0,135,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4306803,10765,81.2146,2490,18.7854,0,0,0,0.0,13255,0,0,0.0,544,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11820159,28915,65.9106,14955,34.0894,0,0,0,0.0,43870,0,0,0.0,1588,11,92.757,124,1,7.243,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10780854,3200,57.1429,2400,42.8571,0,0,0,0.0,5600,0,0,0.0,0,0,0.0,338,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11720031,13370,67.5594,6420,32.4406,0,0,0,0.0,19790,0,0,0.0,756,5,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11608054,65993,62.7238,39219,37.2762,0,0,0,0.0,105212,0,0,0.0,1860,12,89.8985,209,1,10.1015,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4303457,6719,59.3761,4597,40.6239,0,0,0,0.0,11316,0,0,0.0,618,5,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11507483,933,48.6952,983,51.3048,0,0,0,0.0,1916,0,0,0.0,185,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11599972,334029,50.0707,333086,49.9293,0,0,0,0.0,667115,1951,15,41.2212,2396,18,50.6233,147,1,3.1059,239,2,5.0497,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,8563450,12828,69.8845,5528,30.1155,0,0,0,0.0,18356,0,0,0.0,646,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11469500,5883,79.867,1483,20.133,0,0,0,0.0,7366,0,0,0.0,316,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10258736,110265,50.4345,108365,49.5655,0,0,0,0.0,218630,907,5,22.6354,1805,12,45.0462,1295,9,32.3184,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11787145,9500,79.8319,2400,20.1681,0,0,0,0.0,11900,0,0,0.0,284,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11820464,29503,50.5136,28903,49.4864,0,0,0,0.0,58406,0,0,0.0,0,0,0.0,417,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4257666,11160,76.6484,3400,23.3516,0,0,0,0.0,14560,0,0,0.0,425,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11037439,10373,87.9813,1417,12.0187,0,0,0,0.0,11790,0,0,0.0,167,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4195556,6774,58.8327,4740,41.1673,0,0,0,0.0,11514,0,0,0.0,934,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4310931,24449,58.035,17679,41.965,0,0,0,0.0,42128,0,0,0.0,1961,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,8357212,14713,79.0766,3893,20.9234,0,0,0,0.0,18606,0,0,0.0,992,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4274907,23899,58.4656,16978,41.5344,0,0,0,0.0,40877,0,0,0.0,1448,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11595036,3969,62.3175,2400,37.6825,0,0,0,0.0,6369,257,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10322239,13942,71.3182,5607,28.6818,0,0,0,0.0,19549,0,0,0.0,738,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11563058,76188,53.6834,65733,46.3166,0,0,0,0.0,141921,174,1,4.4017,3363,23,85.0746,416,3,10.5237,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11682124,269970,48.5161,286484,51.4839,0,0,0,0.0,556454,2540,17,32.3279,2368,15,30.1387,2412,13,30.6987,537,3,6.8347,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11778060,18926,62.7686,11226,37.2314,0,0,0,0.0,30152,0,0,0.0,1348,8,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,8657253,31426,55.8665,24826,44.1335,0,0,0,0.0,56252,0,0,0.0,1576,8,92.5969,126,1,7.4031,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11260667,82171,51.5146,77339,48.4854,0,0,0,0.0,159510,139,1,5.5891,1768,12,71.0897,580,5,23.3213,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11283756,22717,51.418,21464,48.582,0,0,0,0.0,44181,0,0,0.0,0,0,0.0,1285,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4113879,69009,49.1685,71343,50.8315,0,0,0,0.0,140352,0,0,0.0,679,3,42.7044,911,5,57.2956,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11004663,40271,54.1903,34043,45.8097,0,0,0,0.0,74314,318,2,19.7516,0,0,0.0,1292,7,80.2484,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11555519,71406,83.6861,13920,16.3139,0,0,0,0.0,85326,0,0,0.0,284,2,66.3551,144,1,33.6449,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4311082,4080,77.2727,1200,22.7273,0,0,0,0.0,5280,0,0,0.0,272,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11520751,4471,67.9174,2112,32.0826,0,0,0,0.0,6583,0,0,0.0,368,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4312973,19484,58.809,13647,41.191,0,0,0,0.0,33131,0,0,0.0,1073,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4279418,104606,49.6038,106277,50.3962,0,0,0,0.0,210883,0,0,0.0,1524,10,67.4635,735,4,32.5365,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4290942,7325,79.232,1920,20.768,0,0,0,0.0,9245,0,0,0.0,198,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4314563,40228,52.5238,36362,47.4762,0,0,0,0.0,76590,0,0,0.0,2845,16,93.187,208,1,6.813,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
89D1A3AD2CFFF5709C8CCC0277E01269,11127445,7710,93.2285,560,6.7715,0,0,0,0.0,8270,0,0,0.0,175,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4305554,5256,86.2205,840,13.7795,0,0,0,0.0,6096,0,0,0.0,253,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10747450,216885,49.936,217441,50.064,0,0,0,0.0,434326,529,4,14.517,729,5,20.0055,2232,15,61.2514,154,1,4.2261,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11824112,33126,73.4876,11951,26.5124,0,0,0,0.0,45077,0,0,0.0,1746,10,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4283694,14009,69.8738,6040,30.1262,0,0,0,0.0,20049,0,0,0.0,631,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11131722,45463,52.0911,41813,47.9089,0,0,0,0.0,87276,0,0,0.0,403,3,60.9682,258,2,39.0318,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,3495003,21695,54.7094,17960,45.2906,0,0,0,0.0,39655,0,0,0.0,961,6,90.4045,102,1,9.5955,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4232011,5264,63.3911,3040,36.6089,0,0,0,0.0,8304,0,0,0.0,167,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11717726,8134,89.2082,984,10.7918,0,0,0,0.0,9118,0,0,0.0,198,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10397117,12906,49.5204,13156,50.4796,0,0,0,0.0,26062,0,0,0.0,123,1,40.3279,182,1,59.6721,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,9663622,6977,75.3944,2277,24.6056,0,0,0,0.0,9254,0,0,0.0,255,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11768061,58617,52.3347,53387,47.6653,0,0,0,0.0,112004,0,0,0.0,924,5,30.9859,2058,12,69.0141,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10442012,59134,50.6401,57639,49.3599,0,0,0,0.0,116773,341,3,34.0319,395,2,39.4212,266,2,26.5469,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,9621331,28256,50.5366,27656,49.4634,0,0,0,0.0,55912,0,0,0.0,1035,6,63.5749,593,3,36.4251,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
34E4147F6F2E379D9F1B3E9043A341F4,3271601,19242,58.9865,13379,41.0135,0,0,0,0.0,32621,0,0,0.0,524,4,77.9762,148,1,22.0238,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10876897,6671,55.6288,5321,44.3712,0,0,0,0.0,11992,0,0,0.0,397,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
0B8A572918B073167351981AAD73D27B,11619297,22438,61.4605,14070,38.5395,0,0,0,0.0,36508,0,0,0.0,834,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11421435,21342,50.2354,21142,49.7646,0,0,0,0.0,42484,0,0,0.0,1310,10,71.2344,529,4,28.7656,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4309497,12357,74.5026,4229,25.4974,0,0,0,0.0,16586,0,0,0.0,1013,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4298849,39045,53.5589,33856,46.4411,0,0,0,0.0,72901,0,0,0.0,1351,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10801743,105070,52.0138,96934,47.9862,0,0,0,0.0,202004,0,0,0.0,2288,14,61.1274,1455,12,38.8726,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,9139953,5000,51.0204,4800,48.9796,0,0,0,0.0,9800,99,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11121583,27305,56.2584,21230,43.7416,0,0,0,0.0,48535,0,0,0.0,2583,14,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
34E4147F6F2E379D9F1B3E9043A341F4,2916939,42091,53.2191,36999,46.7809,0,0,0,0.0,79090,0,0,0.0,723,5,49.6907,732,5,50.3093,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4253273,8360,64.4018,4621,35.5982,0,0,0,0.0,12981,0,0,0.0,1146,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,8540642,22369,67.3704,10834,32.6296,0,0,0,0.0,33203,0,0,0.0,2259,14,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11185106,65620,94.7253,3654,5.2747,0,0,0,0.0,69274,0,0,0.0,860,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11766012,357337,48.7467,375712,51.2533,0,0,0,0.0,733049,336,2,5.5879,2959,17,49.21,1852,13,30.7999,290,2,4.8229,576,4,9.5792,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11796760,55718,50.267,55126,49.733,0,0,0,0.0,110844,0,0,0.0,1810,8,54.6828,1500,8,45.3172,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11241073,31476,59.3428,21565,40.6572,0,0,0,0.0,53041,0,0,0.0,1060,8,67.9487,500,3,32.0513,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11498414,1870,72.2008,720,27.7992,0,0,0,0.0,2590,0,0,0.0,151,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11770837,45981,52.0571,42347,47.9429,0,0,0,0.0,88328,842,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11531739,4600,57.1429,3450,42.8571,0,0,0,0.0,8050,0,0,0.0,149,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,9907529,77715,43.0123,72966,40.3839,30000,16,0,0.0,180681,252,1,9.5166,465,3,17.5604,1931,14,72.923,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11518113,6110,54.2147,5160,45.7853,0,0,0,0.0,11270,0,0,0.0,908,5,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11492358,53696,53.9068,45913,46.0932,0,0,0,0.0,99609,0,0,0.0,644,4,43.6314,832,5,56.3686,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,8026869,10246,75.0238,3411,24.9762,0,0,0,0.0,13657,0,0,0.0,1083,8,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4281798,11781,58.3102,8423,41.6898,0,0,0,0.0,20204,0,0,0.0,677,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11315278,4150,49.7006,4200,50.2994,0,0,0,0.0,8350,467,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,10957053,21054,62.8346,12453,37.1654,0,0,0,0.0,33507,0,0,0.0,548,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4310989,118465,48.2695,126959,51.7305,0,0,0,0.0,245424,0,0,0.0,688,4,59.8782,461,3,40.1218,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4266273,15696,63.2852,9106,36.7148,0,0,0,0.0,24802,0,0,0.0,393,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
34E4147F6F2E379D9F1B3E9043A341F4,3949456,19879,58.5279,14086,41.4721,0,0,0,0.0,33965,0,0,0.0,1177,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
0B8A572918B073167351981AAD73D27B,11655330,16028,76.342,4967,23.658,0,0,0,0.0,20995,0,0,0.0,949,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4007052,14848,68.0851,6960,31.9149,0,0,0,0.0,21808,0,0,0.0,598,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4292377,17214,62.205,10459,37.795,0,0,0,0.0,27673,0,0,0.0,1382,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,6424285,13670,71.4248,5469,28.5752,0,0,0,0.0,19139,0,0,0.0,1061,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,11457192,16911,51.8392,15711,48.1608,0,0,0,0.0,32622,0,0,0.0,0,0,0.0,453,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4314148,10476,79.8719,2640,20.1281,0,0,0,0.0,13116,0,0,0.0,784,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,9887993,17815,66.4863,8980,33.5137,0,0,0,0.0,26795,0,0,0.0,671,3,75.8192,214,1,24.1808,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11028131,12142,77.7635,3472,22.2365,0,0,0,0.0,15614,0,0,0.0,849,6,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
